Cause,Climate_Variable,Correlation
Tuberculosis,Dewpoint_K,0.28742929236846765
Tuberculosis,Surface_Pressure_Pa,-0.28153697361313645
Chronic Kidney Disease,Surface_Pressure_Pa,0.2806125143871787
Parkinson's Disease,Surface_Pressure_Pa,0.2772193191223873
"Fire, Heat, and Hot Substances",Precipitation_mm,0.2716977469296953
Protein-Energy Malnutrition,Dewpoint_K,0.27123831411033433
Diarrheal Diseases,Dewpoint_K,0.27059431481441754
Diarrheal Diseases,Surface_Pressure_Pa,-0.26769034557784427
Nutritional Deficiencies,Dewpoint_K,0.26672905531707003
Lower Respiratory Infections,Surface_Pressure_Pa,-0.26062662347979765
Chronic Kidney Disease,Wind_Speed_ms,0.24741679984134232
Malaria,Surface_Pressure_Pa,-0.23999733835251383
Poisonings,Dewpoint_K,-0.23656769601631863
Drowning,Temperature_C,0.2336723929577859
Road Injuries,Temperature_C,0.23255498940381394
Diabetes Mellitus,Wind_Speed_ms,0.22544788728063675
Digestive Diseases,Temperature_C,-0.22480984592921968
Neoplasms,Surface_Pressure_Pa,0.2227938202443414
Meningitis,Dewpoint_K,0.22152410003801418
"Fire, Heat, and Hot Substances",Dewpoint_K,-0.21864598582095754
Diarrheal Diseases,Precipitation_mm,0.21720822971221182
Malaria,Temperature_C,0.21368851136010783
Malaria,Dewpoint_K,0.20933414229598601
Lower Respiratory Infections,Dewpoint_K,0.20746715537734242
Diabetes Mellitus,Temperature_C,0.2014996896111423
Diarrheal Diseases,Wind_Speed_ms,-0.20071846744561414
Cirrhosis and Other Chronic Liver Diseases,Surface_Pressure_Pa,0.19843163043544684
Alzheimer's Disease and Other Dementias,Precipitation_mm,-0.19800314201110294
Self-harm,Dewpoint_K,-0.19751143476478236
"Fire, Heat, and Hot Substances",Wind_Speed_ms,-0.18876105738471624
Neoplasms,Wind_Speed_ms,-0.18853047535412834
Neonatal Disorders,Dewpoint_K,0.18777360213881553
Drug Use Disorders,Precipitation_mm,-0.18564169178535928
Cardiovascular Diseases,Wind_Speed_ms,-0.18494647981355739
Interpersonal Violence,Wind_Speed_ms,0.1846020387596138
Malaria,Precipitation_mm,0.18447949684036077
Acute Hepatitis,Dewpoint_K,0.18249635765838518
Nutritional Deficiencies,Surface_Pressure_Pa,-0.177260722902979
Alzheimer's Disease and Other Dementias,Surface_Pressure_Pa,0.17688907360098302
Malaria,Wind_Speed_ms,-0.17640209406148186
Protein-Energy Malnutrition,Surface_Pressure_Pa,-0.17614261157625866
Digestive Diseases,Precipitation_mm,-0.17552979459339813
Neoplasms,Precipitation_mm,-0.1740746829885065
Self-harm,Surface_Pressure_Pa,0.17364046794504928
Alzheimer's Disease and Other Dementias,Wind_Speed_ms,-0.17355096575287532
Lower Respiratory Infections,Temperature_C,0.17252120326878134
Poisonings,Wind_Speed_ms,-0.16885279142971216
Cardiovascular Diseases,Surface_Pressure_Pa,0.16445892135668339
Interpersonal Violence,Temperature_C,0.1541236859295275
Drug Use Disorders,Wind_Speed_ms,-0.15287210490873326
Acute Hepatitis,Surface_Pressure_Pa,-0.15115326080986022
Diabetes Mellitus,Surface_Pressure_Pa,0.15004543880529955
Neonatal Disorders,Wind_Speed_ms,-0.14959589890132466
HIV/AIDS,Temperature_C,0.14827337671507143
Parkinson's Disease,Precipitation_mm,-0.14064541708970002
Alcohol Use Disorders,Surface_Pressure_Pa,0.13940504659569153
Meningitis,Wind_Speed_ms,-0.13300483580789732
Meningitis,Precipitation_mm,0.13183282185444933
Alcohol Use Disorders,Precipitation_mm,-0.13104803536849066
HIV/AIDS,Wind_Speed_ms,-0.130572367758278
Road Injuries,Surface_Pressure_Pa,-0.12933234790977646
Tuberculosis,Wind_Speed_ms,-0.12847568360963948
Maternal Disorders,Wind_Speed_ms,-0.12787850809315615
Interpersonal Violence,Dewpoint_K,0.1268084580238515
Poisonings,Temperature_C,-0.12665321628871745
Conflict and Terrorism,Temperature_C,0.12553853264867576
Chronic Kidney Disease,Dewpoint_K,0.11913881218361716
Cirrhosis and Other Chronic Liver Diseases,Precipitation_mm,-0.11557665578895662
Lower Respiratory Infections,Wind_Speed_ms,-0.11518698907197675
Environmental Heat and Cold Exposure,Wind_Speed_ms,-0.10848270858984416
Chronic Kidney Disease,Temperature_C,0.10847191839044114
Chronic Respiratory Diseases,Wind_Speed_ms,-0.10780737078946065
Conflict and Terrorism,Surface_Pressure_Pa,-0.10051462812877245
Parkinson's Disease,Wind_Speed_ms,-0.0998978318244129
"Fire, Heat, and Hot Substances",Temperature_C,-0.09960313242096432
Tuberculosis,Precipitation_mm,0.09912955169964578
Chronic Respiratory Diseases,Surface_Pressure_Pa,-0.09573208039368125
Digestive Diseases,Dewpoint_K,-0.08222194468989213
Drug Use Disorders,Surface_Pressure_Pa,0.07980022097696726
Conflict and Terrorism,Precipitation_mm,-0.07384306930231574
Interpersonal Violence,Precipitation_mm,-0.0690658102903139
Self-harm,Wind_Speed_ms,-0.06836731336515918
Cirrhosis and Other Chronic Liver Diseases,Temperature_C,0.06779964244513755
Self-harm,Precipitation_mm,0.06668376880913308
Chronic Kidney Disease,Precipitation_mm,-0.06599283656648927
Environmental Heat and Cold Exposure,Precipitation_mm,-0.065778412336647
Exposure to Forces of Nature,Precipitation_mm,0.0639743942484294
Acute Hepatitis,Precipitation_mm,0.0611130383055063
HIV/AIDS,Dewpoint_K,0.05935625275585812
Conflict and Terrorism,Wind_Speed_ms,-0.05876472224388434
Exposure to Forces of Nature,Dewpoint_K,0.058367267551973134
Exposure to Forces of Nature,Temperature_C,0.057457471507014635
Acute Hepatitis,Wind_Speed_ms,-0.054334029023416185
Road Injuries,Dewpoint_K,-0.052308414670762325
Neonatal Disorders,Precipitation_mm,0.05079942379494113
Interpersonal Violence,Surface_Pressure_Pa,0.05047946277240468
Digestive Diseases,Wind_Speed_ms,0.04253684148284178
HIV/AIDS,Precipitation_mm,-0.03862274170014438
Alcohol Use Disorders,Wind_Speed_ms,-0.037796374902582815
Cirrhosis and Other Chronic Liver Diseases,Wind_Speed_ms,0.03677215984501807
Poisonings,Precipitation_mm,0.0318453009135294
Cardiovascular Diseases,Precipitation_mm,-0.028045608924132454
Environmental Heat and Cold Exposure,Surface_Pressure_Pa,-0.025458045617947893
Chronic Respiratory Diseases,Dewpoint_K,-0.021305410775993492
Conflict and Terrorism,Dewpoint_K,-0.01861399561709302
Road Injuries,Precipitation_mm,0.016717039865042967
Drowning,Wind_Speed_ms,0.014943182543231874
Exposure to Forces of Nature,Wind_Speed_ms,-0.012153527567120558
Nutritional Deficiencies,Wind_Speed_ms,-0.010309093370164515
Drowning,Surface_Pressure_Pa,0.009807449211667452
Protein-Energy Malnutrition,Precipitation_mm,0.008299648075717318
Exposure to Forces of Nature,Surface_Pressure_Pa,-0.007656362700478158
Cirrhosis and Other Chronic Liver Diseases,Dewpoint_K,0.006112183033398109
Road Injuries,Wind_Speed_ms,-0.006059191690606794
Nutritional Deficiencies,Precipitation_mm,0.0031716201577049984
Protein-Energy Malnutrition,Wind_Speed_ms,2.2740033889200276e-05
